2025-08-17 21:43:35 - INFO - app - 📆 far_time_process 모드: 총 56일 간 데이터 조회 예정 → [datetime.datetime(2025, 4, 1, 0, 0), datetime.datetime(2025, 4, 2, 0, 0), datetime.datetime(2025, 4, 3, 0, 0), datetime.datetime(2025, 4, 4, 0, 0), datetime.datetime(2025, 4, 5, 0, 0), datetime.datetime(2025, 4, 6, 0, 0), datetime.datetime(2025, 4, 7, 0, 0), datetime.datetime(2025, 4, 8, 0, 0), datetime.datetime(2025, 4, 9, 0, 0), datetime.datetime(2025, 4, 10, 0, 0), datetime.datetime(2025, 4, 11, 0, 0), datetime.datetime(2025, 4, 12, 0, 0), datetime.datetime(2025, 4, 13, 0, 0), datetime.datetime(2025, 4, 14, 0, 0), datetime.datetime(2025, 4, 15, 0, 0), datetime.datetime(2025, 4, 16, 0, 0), datetime.datetime(2025, 4, 17, 0, 0), datetime.datetime(2025, 4, 18, 0, 0), datetime.datetime(2025, 4, 19, 0, 0), datetime.datetime(2025, 4, 20, 0, 0), datetime.datetime(2025, 4, 21, 0, 0), datetime.datetime(2025, 4, 22, 0, 0), datetime.datetime(2025, 4, 23, 0, 0), datetime.datetime(2025, 4, 24, 0, 0), datetime.datetime(2025, 4, 25, 0, 0), datetime.datetime(2025, 4, 26, 0, 0), datetime.datetime(2025, 4, 27, 0, 0), datetime.datetime(2025, 4, 28, 0, 0), datetime.datetime(2025, 4, 29, 0, 0), datetime.datetime(2025, 4, 30, 0, 0), datetime.datetime(2025, 5, 1, 0, 0), datetime.datetime(2025, 5, 2, 0, 0), datetime.datetime(2025, 5, 3, 0, 0), datetime.datetime(2025, 5, 4, 0, 0), datetime.datetime(2025, 5, 5, 0, 0), datetime.datetime(2025, 5, 6, 0, 0), datetime.datetime(2025, 5, 7, 0, 0), datetime.datetime(2025, 5, 8, 0, 0), datetime.datetime(2025, 5, 9, 0, 0), datetime.datetime(2025, 5, 10, 0, 0), datetime.datetime(2025, 5, 11, 0, 0), datetime.datetime(2025, 5, 12, 0, 0), datetime.datetime(2025, 5, 13, 0, 0), datetime.datetime(2025, 5, 14, 0, 0), datetime.datetime(2025, 5, 15, 0, 0), datetime.datetime(2025, 5, 16, 0, 0), datetime.datetime(2025, 5, 17, 0, 0), datetime.datetime(2025, 5, 18, 0, 0), datetime.datetime(2025, 5, 19, 0, 0), datetime.datetime(2025, 5, 20, 0, 0), datetime.datetime(2025, 5, 21, 0, 0), datetime.datetime(2025, 5, 22, 0, 0), datetime.datetime(2025, 5, 23, 0, 0), datetime.datetime(2025, 5, 24, 0, 0), datetime.datetime(2025, 5, 25, 0, 0), datetime.datetime(2025, 5, 26, 0, 0)]
2025-08-17 21:43:35 - INFO - app - ✅ Data load skip: 총 56개 파일 저장됨
2025-08-17 21:43:35 - INFO - app - ✅ 데이터 전처리(x-y) skip: Model/v3에 저장됨
2025-08-17 21:43:35 - INFO - app - ✅ Step 0 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 1 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 2 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 3 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 4 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 5 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 6 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 7 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 8 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 9 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 10 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 11 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 12 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 13 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 14 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 15 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 16 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 17 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 18 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 19 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 20 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 21 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 22 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 23 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 24 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 25 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 26 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 27 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 28 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 29 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 30 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 31 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 32 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 33 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 34 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 35 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 36 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 37 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 38 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 39 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 40 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 41 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 42 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 43 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 44 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 45 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 46 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 47 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 48 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 49 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 50 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 51 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 52 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 53 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 54 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 55 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 56 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 57 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 58 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 59 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 60 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 61 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 62 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 63 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 64 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 65 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 66 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 67 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 68 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 69 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 70 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 71 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 72 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 73 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 74 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 75 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 76 model already exists, skipping...
2025-08-17 21:43:35 - INFO - app - ✅ Step 77 model already exists, skipping...
